ModelName,Feature,Importance,SHAP
log0,FirstLetterName_M,-0.0430528590812286,
log0,FirstLetterName_N,-0.039622149898929,
log0,FirstLetterName_O,-0.0078555372781796,
log0,FirstLetterName_P,0.0495135259101671,
log0,FirstLetterName_Q,-0.0099116926142634,
log0,FirstLetterName_R,-0.0725779696296402,
log0,FirstLetterName_S,-0.0225102410167056,
log0,FirstLetterName_T,0.0425071042132987,
log0,FirstLetterName_U,0.0008071164096366,
log0,FirstLetterName_Unknown,-1.0484202419468025,
log0,FirstLetterName_V,-0.0036327658115891,
log0,FirstLetterName_W,0.0102088963487623,
log0,FirstLetterName_X,-0.0019119638587125,
log0,FirstLetterName_Y,-0.0058015875937152,
log0,FirstLetterName_Z,-0.0035678619205162,
log0,NameLengthBin_long,-0.0317163021910301,
log0,NameLengthBin_med,-0.1175299169698876,
log0,NameLengthBin_short,0.0104741840796437,
xgb0,Age_Shift1,0.02981662005186081,0.9221295118331909
xgb0,Outcome Type_Euthanasia,0.012570462189614773,0.06005515158176422
xgb0,Outcome Type_Other Outcome,0.006207463331520557,0.024653777480125427
xgb0,Outcome Type_Return to Owner,0.012858692556619644,0.1819688379764557
xgb0,Outcome Type_Transfer,0.01435998734086752,0.29022300243377686
xgb0,Intake Type_Euthanasia Request,0.0027423985302448273,0.004548146389424801
xgb0,Intake Type_Owner Surrender,0.007585569284856319,0.06542488187551498
xgb0,Intake Type_Public Assist,0.0043977778404951096,0.012567585334181786
xgb0,Intake Type_Stray,0.0056412359699606895,0.04519146680831909
xgb0,Intake Type_Wildlife,0.0009381309500895441,0.0038183056749403477
xgb0,Intake Condition_Injured,0.012252755463123322,0.020136697217822075
xgb0,Intake Condition_Normal,0.011997434310615063,0.054235298186540604
xgb0,Intake Condition_Nursing,0.0061714062467217445,0.007308011408895254
xgb0,Intake Condition_Other,0.0029007941484451294,0.0007446241797879338
xgb0,Intake Condition_Sick,0.00423375004902482,0.011716746725142002
xgb0,Pet Type_Cat,0.03324538469314575,0.037082452327013016
xgb0,Pet Type_Dog,0.062446288764476776,0.13270729780197144
xgb0,Pet Type_Other,0.007410282269120216,0.028141098096966743
xgb0,MixBreed_Not,0.0060651302337646484,0.044372983276844025
xgb0,BaseBreed_Other Bird,0.0012095607817173004,0.0028837413992732763
xgb0,BaseBreed_Other Cat,0.0038245839532464743,0.003247868735343218
xgb0,BaseBreed_Other american,0.0033709241542965174,0.0017299627652391791
xgb0,BaseBreed_Other australian,0.0036185740027576685,0.0003404123417567462
xgb0,BaseBreed_Other black,0.0,0.0
xgb0,BaseBreed_Other bull,0.005682098679244518,0.0034348105546087027
xgb0,BaseBreed_Other chihuahua,0.0036953662056475878,0.004830218851566315
xgb0,BaseBreed_Other collie,0.0028992299921810627,0.004728538915514946
xgb0,BaseBreed_Other cur,0.0,0.0
xgb0,BaseBreed_Other dachshund,0.00266619143076241,0.0021247940603643656
xgb0,BaseBreed_Other dog,0.0030041495338082314,0.018783578649163246
xgb0,BaseBreed_Other great,0.0015270380536094308,0.0005291083944030106
xgb0,BaseBreed_Other hound,0.002661545528098941,0.0005257578450255096
xgb0,BaseBreed_Other husky,0.003712340025231242,8.005224663065746e-05
xgb0,BaseBreed_Other miniature,0.004511106759309769,0.00300377095118165
xgb0,BaseBreed_Other poodle,0.001691480167210102,0.002181502291932702
xgb0,BaseBreed_Other retriever,0.0068431938998401165,0.003184605622664094
xgb0,BaseBreed_Other schnauzer,0.0,0.0
xgb0,BaseBreed_Other shepherd,0.003818831406533718,0.008555200882256031
xgb0,BaseBreed_Other shorthair,0.0,0.0
xgb0,BaseBreed_Other terrier,0.0036460068076848984,0.004546369891613722
xgb0,BaseBreed_Other welsh,0.0011147710029035807,0.0007736363913863897
xgb0,BaseBreed_bat,0.0011129206977784634,0.0002335628232685849
xgb0,BaseBreed_beagle,0.0011517981765791774,0.0017652461538091302
xgb0,BaseBreed_boxer,0.0008464008569717407,0.00501619279384613
xgb0,BaseBreed_catahoula,0.002795587992295623,0.002506252843886614
xgb0,BaseBreed_chow chow,0.002070128917694092,0.0004789451777469367
xgb0,BaseBreed_dachshund,0.006927567534148693,0.002805704018101096
xgb0,BaseBreed_domestic longhair,0.0028090449050068855,0.00041936078923754394
xgb0,BaseBreed_domestic medium hair,0.004249414894729853,0.009859830141067505
xgb0,BaseBreed_domestic shorthair,0.0049283262342214584,0.05700918287038803
xgb0,BaseBreed_german shepherd,0.00420147692784667,0.007020388264209032
xgb0,BaseBreed_great pyrenees,0.0027299041394144297,0.006910509895533323
xgb0,BaseBreed_guinea pig,0.004239962436258793,0.0062127611599862576
xgb0,BaseBreed_maltese,0.001713999779894948,0.0012307374272495508
xgb0,BaseBreed_miniature poodle,0.004109322093427181,0.005311386194080114
xgb0,BaseBreed_pit bull,0.005934782791882753,0.03097357228398323
xgb0,BaseBreed_plott hound,0.005255929660052061,0.0016682145651429892
xgb0,BaseBreed_pointer,0.009354016743600368,0.0025724179577082396
xgb0,BaseBreed_pug,0.0019748888444155455,0.0043320986442267895
xgb0,BaseBreed_rabbit sh,0.0033758545760065317,0.0015371976187452674
xgb0,BaseBreed_raccoon,0.0,0.0
xgb0,BaseBreed_rat,0.0008890748140402138,0.0007095526671037078
xgb0,BaseBreed_rottweiler,0.0026334377471357584,0.0009352207416668534
xgb0,BaseBreed_shih tzu,0.002615485107526183,0.0018689235439524055
xgb0,BaseBreed_siamese,0.006898554507642984,0.0065523311495780945
xgb0,BaseBreed_siberian husky,0.0038302275352180004,0.0057279933243989944
xgb0,MixColor_No Mix,0.0033685630187392235,0.045295245945453644
xgb0,BaseColor_Blue,0.004464372992515564,0.024303175508975983
xgb0,BaseColor_Brown,0.00324304960668087,0.04083770141005516
xgb0,BaseColor_Buff,0.0015917428536340594,0.004021287430077791
xgb0,BaseColor_Calico,0.0014972599456086755,0.016679255291819572
xgb0,BaseColor_Chocolate,0.0021185900550335646,0.004337026737630367
xgb0,BaseColor_Cream,0.0032612266950309277,0.012481027282774448
xgb0,BaseColor_Fawn,0.0026632314547896385,0.0012575460132211447
xgb0,BaseColor_Flame,0.0,0.0
xgb0,BaseColor_Gold,0.0016295283567160368,0.00048224214697256684
xgb0,BaseColor_Gray,0.004553434904664755,0.014734259806573391
xgb0,BaseColor_Lilac,0.0012168730609118938,0.0006365168374031782
xgb0,BaseColor_Lynx,0.004762299824506044,0.004560318775475025
xgb0,BaseColor_Orange,0.004074214957654476,0.023126497864723206
xgb0,BaseColor_Other color,0.001858586329035461,0.002880711108446121
xgb0,BaseColor_Red,0.006055348087102175,0.0042340620420873165
xgb0,BaseColor_Sable,0.001552275032736361,0.01063931081444025
xgb0,BaseColor_Seal,0.0026093858759850264,0.002496005967259407
xgb0,BaseColor_Silver,0.0015255884500220418,0.002009721240028739
