Name,ModelType,F1,PR-AUC,G-mean,ROC-AUC,PRThreshold,ROCThreshold,LogTime
log0,log,,0.390181711051316,0.7561918043219625,0.8393619742362056,0.9603021742827904,0.6127125877198721,2022-02-22 20:21:04.997572
log1,log,0.4750224349386779,0.4001036288535368,0.7568353814966716,0.8399321858874822,0.8002756649101924,0.5943303904771639,2022-02-22 20:21:49.295069
xgb0,xgb,0.6566677535050539,0.6885377932301285,0.8364892942530182,0.9176016252892796,0.3208574056625366,0.0761463642120361,2022-02-22 20:22:07.573218
xgb1,xgb,0.6589195979899497,0.6915197837680918,0.8391516865052114,0.919202597529779,0.308781087398529,0.0703813731670379,2022-02-22 20:23:17.668959
xgbsmote0.1random0.122,xgb,0.6564035375040944,0.6941202685355521,0.8375106026365357,0.9194966107588408,0.3958014547824859,0.1132868453860282,2022-02-22 20:59:02.649490
xgbsmote0.1random0.179999999999999973,xgb,0.6535511837279094,0.6942428152636504,0.8398351062603419,0.9189253653663548,0.511346697807312,0.1574435234069824,2022-02-22 20:59:18.981777
log2,log,0.4750224349386779,0.4001036288535368,0.7568353814966716,0.8399321858874822,0.8002756649101924,0.5943303904771639,2022-02-22 21:01:41.166538
xgbsmote0.1random0.25999999999999994,xgb,0.6547418157273034,0.6952492625106413,0.8383279701570027,0.9184666082465052,0.6182389259338379,0.1776725649833679,2022-02-22 21:02:39.836972
xgbsmote0.1random0.125,xgb,0.6504439329168037,0.6982228679258282,0.8409506558137007,0.9204299584680686,0.3952492773532867,0.0960909500718116,2022-02-22 21:13:25.050133
xgb6,xgb,0.6550997243392248,0.7079820177879705,0.8408568393745919,0.9213089953859845,0.3277018070220947,0.07976578921079636,2022-02-22 21:29:47.248512
